,URef,PLExp,IECturbc,TwrBsMyt_[kN-m] ST_DEL
14940,4.06990443915129,1.07233042875305,97.0066205598414,62485.25295056609
14941,15.0252250358462,0.490410339552909,12.9827154334635,17055.918723491093
14942,6.58602859452367,-0.268327714595944,19.6887487079948,21029.937191790188
14943,6.12166253477335,-0.0901407856494188,37.8478568047285,26843.49685640901
14944,21.7214586175978,0.134830191731453,6.08346308581531,11729.01592790976
14945,5.30699913948774,1.46056373724714,4.06100135296583,3677.842769455092
14946,6.38992929458618,0.689267910923809,13.6581676080823,7443.591239296415
14947,5.64240814745426,1.37737379278988,47.5865744054318,29705.27729369711
14948,4.03372883424163,0.344389451667666,5.61374179087579,5452.749786438368
14949,17.9507306925952,0.22458691271022,19.3296549841762,29328.655120330597
14950,4.45458348467946,0.265963755454868,55.252195475623,33912.415875419654
14951,4.21922491490841,1.84393172096461,90.9027602523565,63772.80586421322
14952,6.74984022602439,0.756520459428429,18.276127288118,13607.275556423114
14953,12.5592925921082,0.47465196903795,25.4691742826253,36357.01308415701
14954,6.2449030354619,-0.0843031045049429,24.5488221757114,18188.848971055853
14955,10.4067495428026,0.235788658820093,17.3649393953383,23619.039381589006
14956,4.96934644505382,1.10431647831574,22.6304276380688,14987.445836022911
14957,4.76882744207978,1.75776628535241,66.3751729298383,36812.983284515976
14958,19.5306527391076,0.463583867065608,7.01025291346014,11653.77460718478
14959,4.4221273586154,1.1723661984317,6.17211777716875,3825.189097448085
14960,5.16874668747187,0.771933603473008,45.0831390917301,33086.762900987276
14961,4.06596989929676,1.66444827616215,54.6752985566855,31288.345442092817
14962,9.46602772548795,0.110211320500821,27.7929425239563,26945.592552451166
14963,5.69539636000991,0.0564639778807759,3.4842477645725,1698.6456197480402
14964,6.15787628665566,0.942240232229233,11.909489845857,9275.762273892267
14965,7.30011073499918,0.36678813714534,29.9725765362382,22096.69954821339
14966,11.851705159992,0.648688963800669,4.32221107184887,7088.589111114043
14967,15.9343678280711,0.202484891470522,15.4148408677429,24837.112764913254
14968,14.4868681170046,-0.0279086243361235,2.68520023673773,3295.3317257407507
14969,4.46285605058074,0.822178881056607,97.6017509121448,59215.279148393834
14970,9.61412727460265,0.523986257612705,10.4101133532822,11545.27810379061
14971,4.73300052434206,0.778903208114207,21.9805209897459,13854.283823296404
