,PLExp,URef,IECturbc,TwrBsMyt_[kN-m] max,TwrBsMyt_[kN-m] stddev,TwrBsMyt_[kN-m] ST_DEL,RootMyb1_[kN-m] mean,RootMyb1_[kN-m] max,RootMyb1_[kN-m] stddev,RootMyb1_[kN-m] ST_DEL,RootMxb1_[kN-m] mean,RootMxb1_[kN-m] max,RootMxb1_[kN-m] stddev,RootMxb1_[kN-m] ST_DEL,YawBrMyn_[kN-m] mean,YawBrMyn_[kN-m] max,YawBrMyn_[kN-m] stddev,YawBrMyn_[kN-m] ST_DEL
1707,0.2975982145406305,8.806841500103474,17.354365764185786,147429.35636516137,10968.458988707052,18956.11646210747,26225.253040669842,37045.81236853283,4321.995951747007,12775.431968179797,2524.6966497081535,19796.234051286454,9819.19384640956,20576.29979934703,-43175.69100157969,-32419.67258863575,2413.4706049602673,2241.0492689653497
1708,0.7837471124716102,10.87164368107915,26.969294110313054,168069.02280389157,27498.534297778137,30094.999187057823,25160.02271526125,47599.87561094024,9560.822253320934,24115.892375490752,1589.6338235787516,21556.57410653044,10251.943645925157,21379.13502795425,-30885.54151403988,-16789.540929656207,4430.621593310527,5374.252440094024
1709,0.1378266470506787,22.026069663465023,17.705800663679838,14113.591861445107,20503.15237711595,32779.692657516716,11315.007926915463,35798.873414295806,7383.999400412673,21625.277251528645,-726.9615415579652,16829.543828839192,846.470912336481,19352.999510000987,-50925.27874293448,-48743.479400330674,6031.038394684356,8567.254428327655
1710,-0.1642722683027386,6.853379659354687,37.79080607928336,133569.82144308495,20412.765433735152,33140.54869217334,29769.18069614892,38954.99902872588,6789.611001492441,15972.856257335343,1941.2534134720067,18862.476939685606,9493.589098926499,19953.11947684723,-50284.186135317825,-37337.759937342016,3986.385356937137,4017.606841770699
1711,1.233874006848782,4.215586479753256,86.10417642630637,153911.07976101578,52386.097486542785,62086.381459952725,9522.4702149671,42924.4866041716,8524.793358292638,15585.897343214556,590.2256187372037,17960.264428254603,9617.437324091654,19980.64330036181,-47134.52643727801,-18267.472434423296,5941.479904113271,3558.147488529949
1712,0.630551018193364,10.302404589951038,11.244577914476396,152414.41687194104,15904.25460647831,13109.074287409276,27934.626660765058,42634.28708041442,6476.791450831936,15573.687041700498,2765.5845354500066,19728.435306599564,10175.760855145685,21560.545365265127,-34592.13474027318,-28531.017997025112,1950.1139467779628,1960.0282643285598
1713,0.5417523190379143,8.597690422087908,19.13903011009097,154583.61519124085,20425.409197896297,16578.579774394762,28667.79735833353,38660.58720499729,6182.380622059142,13407.957949766893,2529.5795355021596,20337.622113118687,10146.185175315173,21621.606677500808,-36887.32627993148,-29229.124719236996,2847.850020906481,2091.537158815789
1714,-0.1053082567639649,14.905578099191189,9.725479641929269,129380.23794299192,8657.096056421204,11971.730799257186,18566.675677275733,36018.13092916916,4354.259266315049,9270.819611040895,-367.44548910411174,15181.555937726222,9326.683090304796,19247.407092510737,-50980.192379101194,-44340.101385933565,2214.146789147916,2326.206822741902
1715,0.6724199243821203,7.08759730309248,29.02000523172319,127379.95364286023,21643.94416290465,22917.078477610838,18622.188775935538,34913.34510815732,5973.177315315964,16108.180112026263,2032.9776512493881,19349.33325944002,9958.537855600307,20562.22971776126,-40187.773672587726,-29762.705540001785,3662.0824762116,3279.64794993124
1716,0.0471019416116177,6.59449228644371,25.10364926420152,97129.42218591619,20156.495569337436,22239.46838181859,15853.94250665179,25396.211117999665,2607.5901491061263,9276.25641535548,1300.8708300725366,17018.699633245044,9518.665269248582,19725.91922887725,-46964.27432574316,-41353.07815587141,2418.1457170135427,2426.110165844273
1717,1.0075339219532906,5.655584946274757,17.110521951690316,13302.080549002916,13430.709137087699,12324.190275631965,13491.7116395013,22580.457509576583,5131.0210188428355,9730.261168766809,1087.8965842908333,15954.395837501548,9741.716725187987,19820.65591096315,-40960.104464700424,-35177.962388971886,2209.98714818593,789.4677783848433
1718,1.677132977172732,4.953368991613388,37.98181037418544,111106.30551491333,20172.316737430323,20350.339254404425,12992.157512933343,33431.64937864896,7932.014889463807,15995.041952874553,1118.4496267775144,17777.586972246423,9996.142354178253,20555.497918111843,-35798.060614637885,-25349.05647569237,3669.8225722329285,2891.6855912180786
1719,0.1640101899392902,4.491059459745884,10.411908337846398,-2968.7689412699256,10377.941673759005,6674.05515408393,8061.858694605986,10363.531244788894,703.781911194832,1594.5798586472301,601.4475289755,13800.082449626114,9421.515307810001,18719.766719670428,-49214.00251569024,-47267.24758808372,867.4869611901468,848.4304366343849
