epoch,cgan,pearson,epoch,wcgan
,,,4750,-0.284981280565262
,,,4800,-0.256380081176758
,,,4850,-0.265509247779846
,,,4900,-0.253330796957016
,,,4950,-0.264185011386871
,,,5000,-0.267972469329834
,,,5050,-0.235818579792976
,,,5100,-0.240945801138878
,,,5150,-0.205693945288658
,,,5200,-0.242875680327415
,,,5250,-0.212833762168884
,,,5300,-0.226959750056267
,,,5350,-0.171566709876061
,,,5400,-0.193265303969383
,,,5450,-0.246403038501739
,,,5500,-0.188880562782288
,,,5550,-0.185411140322685
,,,5600,-0.18421745300293
,,,5650,-0.176676869392395
,,,5700,-0.161224842071533
,,,5750,-0.188402399420738
,,,5800,-0.223464787006378
,,,5850,-0.16836641728878
,,,5900,-0.167040392756462
